01,b03505004,0.80626
02,b04901040,0.80595
03,b03901095,0.80393
04,b03901002,0.80382
05,b01901081,0.80191
06,b03901134,0.80046
07,b03501032,0.79986
08,b02901014,0.79973
09,b04901125,0.79912
10,b03901052,0.79689
11,b03901154,0.79543
12,b03901036,0.79536
13,b03901093,0.7942
14,b03901037,0.79418
15,b03202007,0.7941
16,b03505003,0.79408
17,b03203048,0.79383
18,b03505027,0.79359
19,b03901068,0.79352
20,b03505006,0.792
21,b03901162,0.79195
22,b03901133,0.7918
23,b03505028,0.79155
24,b03901084,0.79148
25,b03901156,0.79146
26,b03901119,0.79089
27,b03901078,0.79056
28,b03901097,0.79023
29,b04611038,0.78962
30,b03901032,0.78956
31,b03901009,0.78924
32,b04901081,0.78905
33,b03901041,0.78904
34,b03901055,0.78746
35,b03901022,0.78713
36,b04901005,0.7871
37,b03901124,0.78687
38,b03901018,0.78678
39,b03901111,0.7855
40,b03611032,0.78513
41,b02901130,0.78455
42,b02502034,0.78387
43,b03901155,0.78386
44,b03901127,0.78367
45,b03901066,0.7834
47,b03901191,0.78299
48,b04901091,0.78252
49,b03901008,0.77983
50,b03901087,0.77935
51,b03611003,0.77807
52,b04901164,0.77803
55,b03901031,0.77614
56,b03202002,0.77366
58,b03901015,0.7705
61,b03901181,0.76332
62,b03901172,0.76316
64,b03602005,0.75322
67,b03901129,0.73633
68,b03901053,0.72331
70,b03901125,0.29107
71,b04901063,0.2226
72,b02901151,0.20628
